Scenario,Entities,Colliders,Avg(ms),Min(ms),Max(ms),P50(ms),P95(ms),P99(ms),StdDev(ms),FramesWithinBudget,FramesExceeding,Stability(%),EstimatedFPS,TotalCollisions,AvgCollisionsPerFrame,MaxCollisionsPerFrame
Static(1k),1000,0,0.445,0.054,12.913,0.065,0.379,12.913,1.887,58,2,96.7,2244.7,0,0.00,0
Linear-10spheres,10,10,0.311,0.155,4.025,0.204,0.556,2.988,0.458,120,0,100.0,3219.8,0,0.00,0
Linear-50spheres,50,50,0.497,0.326,2.556,0.426,0.823,1.128,0.243,120,0,100.0,2011.1,0,0.00,0
Linear-100spheres,100,100,0.558,0.441,1.714,0.558,0.657,0.808,0.124,120,0,100.0,1790.5,0,0.00,0
Falling-10spheres,10,10,0.094,0.066,0.393,0.081,0.142,0.261,0.035,180,0,100.0,10600.5,0,0.00,0
Falling-50spheres,50,50,0.337,0.234,1.307,0.308,0.492,0.515,0.102,180,0,100.0,2965.3,0,0.00,0
Falling-100spheres,100,100,0.597,0.430,1.996,0.560,0.755,1.952,0.185,180,0,100.0,1675.2,0,0.00,0
Falling-250spheres,250,250,1.467,1.092,2.679,1.289,1.973,2.635,0.363,180,0,100.0,681.9,0,0.00,0
Falling-500spheres,500,500,3.085,2.263,5.099,2.650,4.432,4.698,0.804,180,0,100.0,324.1,0,0.00,0
Spheres-100,100,100,0.557,0.472,1.523,0.504,0.741,0.773,0.121,120,0,100.0,1794.7,0,0.00,0
Boxes-100,100,100,0.627,0.449,1.642,0.503,1.072,1.205,0.226,120,0,100.0,1594.9,0,0.00,0
Spheres-50,50,50,0.278,0.221,1.459,0.239,0.371,0.470,0.120,120,0,100.0,3602.4,0,0.00,0
Boxes-50,50,50,0.296,0.227,0.537,0.242,0.504,0.537,0.093,120,0,100.0,3381.7,0,0.00,0
Stacked-10x10,385,385,4.057,2.292,9.231,4.139,4.523,5.326,0.596,179,1,99.4,246.5,0,0.00,0
Stacked-15x15,1240,1240,14.463,6.942,17.728,14.963,16.024,17.131,1.873,1,179,0.6,69.1,0,0.00,0
Mixed-70dyn+30static,100,100,0.425,0.344,0.644,0.393,0.530,0.638,0.071,120,0,100.0,2350.9,0,0.00,0
Mixed-200dyn+100static,300,300,1.164,0.973,2.581,1.072,1.439,2.502,0.231,120,0,100.0,859.4,0,0.00,0
