Scenario,Entities,Colliders,Avg(ms),Min(ms),Max(ms),P50(ms),P95(ms),P99(ms),StdDev(ms),FramesWithinBudget,FramesExceeding,Stability(%),EstimatedFPS,TotalCollisions,AvgCollisionsPerFrame,MaxCollisionsPerFrame
Static(1k),1000,0,0.733,0.092,19.576,0.108,2.061,19.576,2.781,58,2,96.7,1364.2,0,0.00,0
Linear-10spheres,10,10,0.487,0.206,5.029,0.292,1.400,4.633,0.745,120,0,100.0,2052.6,0,0.00,0
Linear-50spheres,50,50,0.753,0.474,3.451,0.677,1.161,3.335,0.393,120,0,100.0,1327.6,0,0.00,0
Linear-100spheres,100,100,0.857,0.513,2.555,0.878,1.111,1.346,0.211,120,0,100.0,1166.8,0,0.00,0
Falling-10spheres,10,10,0.138,0.067,0.528,0.123,0.252,0.476,0.066,180,0,100.0,7268.4,0,0.00,0
Falling-50spheres,50,50,0.476,0.239,2.035,0.423,0.642,1.717,0.196,180,0,100.0,2099.6,0,0.00,0
Falling-100spheres,100,100,0.941,0.664,3.112,0.834,1.416,2.516,0.314,180,0,100.0,1062.6,0,0.00,0
Falling-250spheres,250,250,2.120,1.150,4.334,1.876,3.331,3.615,0.681,180,0,100.0,471.7,0,0.00,0
Falling-500spheres,500,500,4.378,2.452,7.314,3.925,6.318,6.788,1.267,179,1,99.4,228.4,0,0.00,0
Spheres-100,100,100,0.764,0.475,2.164,0.715,1.133,1.788,0.223,120,0,100.0,1309.5,0,0.00,0
Boxes-100,100,100,0.798,0.470,1.728,0.699,1.534,1.708,0.343,120,0,100.0,1253.7,0,0.00,0
Spheres-50,50,50,0.388,0.232,1.670,0.346,0.555,0.678,0.149,120,0,100.0,2576.6,0,0.00,0
Boxes-50,50,50,0.426,0.235,0.793,0.349,0.749,0.787,0.150,120,0,100.0,2346.3,0,0.00,0
Stacked-10x10,385,385,5.676,2.396,7.888,5.971,6.907,7.501,0.985,172,8,95.6,176.2,0,0.00,0
Stacked-15x15,1240,1240,19.896,9.215,24.861,21.013,23.861,24.606,3.378,0,180,0.0,50.3,0,0.00,0
Mixed-70dyn+30static,100,100,0.423,0.336,1.850,0.367,0.549,0.813,0.159,120,0,100.0,2364.4,0,0.00,0
Mixed-200dyn+100static,300,300,1.206,1.011,2.912,1.091,1.514,2.804,0.271,120,0,100.0,829.5,0,0.00,0
